Source,Protocol,Port,IsAttack_Flag,Feature_1,Feature_2,Feature_3,Feature_4,Feature_5,Feature_6,Feature_7,Feature_8,Feature_9,Feature_10,Feature_11,Feature_12,Feature_13,Feature_14,Feature_15,Feature_16,Feature_17,Feature_18,Feature_19,Feature_20,Feature_21,Feature_22,Feature_23,Feature_24,Feature_25,Feature_26,Feature_27,Feature_28,Feature_29,Feature_30,Feature_31,Feature_32,Feature_33,Feature_34,Feature_35,Feature_36,Feature_37,Feature_38,Feature_39,Feature_40,Feature_41,Feature_42,Feature_43,Feature_44,Feature_45,Feature_46
192.168.1.109 (SmartPlug),UDP,68,False,0.22373012639795098,0.2538468135667283,0.203431693538539,0.014538537304667053,0.26964515826019136,0.04493967338707677,0.13773165123488573,0.07041314203412073,0.2544149185075081,0.25050602844322506,0.1584641518937835,0.18626204495091078,0.24859891770246564,0.07633750756055671,0.24242376277499414,0.1164388303260541,0.299563158776825,0.16758989261204496,0.16514006571307835,0.04128769069989844,0.07515282415064853,0.2557151924657255,0.10271842309347458,0.05102317879137689,0.07433531346808611,0.20356053191325402,0.03026166662375509,0.2518253664984365,0.2314545737956712,0.15816396086316106,0.29287210630065824,0.1668426568715294,0.15010868703225913,0.10772478044677282,0.1723439865287869,0.19038064862974033,0.16277878625020337,0.0296106267836361,0.22677662666356704,0.11989987291360009,0.2257485733707355,0.07203486444980688,0.1249956197724781,0.1438327584330798,0.0476518003683459,0.12063118048581925
192.168.1.112 (Thermostat),UDP,123,True,2.9926257724510092,4.406396032103393,3.62996218717148,2.232797558051704,3.1547741568379637,2.4973225747850414,3.8168725948961892,1.9125841910161971,3.6277851816157254,0.8734248934686641,2.7626488206650572,2.5551748766598914,1.697846268290661,1.0726753535876554,3.124302551717057,1.2584279515447454,3.2585409477790233,4.060872889832923,0.7835862011121293,3.182392078197288,3.4254440267111343,3.250266442946427,4.433325039001753,1.2157614863689221,2.60854076718695,2.814087019115121,2.3581376005591643,3.47764120389784,1.2206186969111932,0.8793545919239038,4.305599239009701,1.9284687188615162,2.205760513294871,3.9458446524334745,2.0879452457726018,1.1197131656985713,3.2239632151773785,1.1278774632163018,1.7999901802775347,2.8868034653383763,1.2328345722678624,2.096492096231151,2.031297590425008,2.1305807454341634,3.38908047930365,3.128153188578361
192.168.1.104 (Camera),TCP,22,True,3.3136103793090035,3.465725281309605,3.9825317151151545,3.3885381330819495,0.7960296139878382,2.1499171697116117,3.192729057823958,1.8241950915403042,3.5040765050145835,2.5321336507505947,1.6470399514284604,1.7672730636154095,2.1888748378024068,1.4333306556831338,0.9819626719739385,2.9903876637185602,2.5741939737484643,4.227711896596664,1.9542791505554324,2.918040063597532,1.3760307880479434,0.7664597895480008,4.331814442114916,4.223290351859317,2.955760311542207,1.8485683235194759,1.5325661591034625,3.9965848155447476,0.7796195091792406,1.673984529959174,4.412835940924132,1.4825366898760761,0.986308374506131,2.671987704033195,4.0951537366126916,3.4816186433037535,4.46380231621289,2.0895403538958766,3.3536404045884556,2.057631271003456,3.7419987965913117,3.146430709562196,4.468299455144595,0.9262397085417847,2.105864771180201,3.511791099088544
192.168.1.109 (SmartPlug),ICMP,0,True,2.496822941543261,3.729474320256516,1.73724181031628,3.313988033517286,2.1087588512358946,2.6067632855191265,2.458162064924842,3.104266522006742,1.1454479230939505,4.441243161241479,1.9563872813498793,3.215496431407751,1.1717506276950083,2.030216726022828,0.7470132875907746,1.3523368072979678,0.7271746977222155,4.340421192078342,2.4279185879781364,3.9029834122376332,4.214266813582455,2.050747429325558,3.41949643139435,2.1212768472079926,3.3126268530931133,2.6595521453024036,3.41858264726787,2.2201514299657017,3.8137235937934157,2.9150460375789153,1.485491459038323,0.8772427443911172,0.7369044805113864,4.368207657507613,3.161199238655505,2.4910505630972546,3.2656516758868266,0.7074351527943149,2.8402889469746055,2.7173910694399925,0.7242030911813597,1.1493267931466609,3.590058525216124,1.8627222331753401,3.8262169077923236,1.0546753992851396
192.168.1.112 (Thermostat),UDP,67,True,1.9893238853872,2.115206740818146,1.0191860353655027,2.5211473274834866,4.294342282981743,0.99217979373509,1.7903772937948819,4.066150512935044,4.255240784887949,1.948418302483961,3.8711979657916658,2.934626555054015,0.8970265748560144,2.033974720249157,3.1192830823803357,1.1687462469327086,4.460872625471401,3.4180324469138164,4.420010846252659,2.7621467734976672,3.4260020723568996,4.481008475868553,2.753326466718682,2.83483987162976,2.974084628006393,2.1571709609574534,3.1053681331257748,3.9350207120009193,4.323331668860106,2.297806100160661,3.7528999393896587,2.411498006419666,2.6779306407834795,0.7729036163957859,1.6089285267308768,3.822831110160303,3.973396472537285,2.122283222798024,2.245975327867087,1.3485352356737415,3.0720679662917902,1.491514531423985,2.6190204414084035,2.16675230724755,4.214594833585883,3.2123441799837193
192.168.1.112 (Thermostat),TCP,21,True,4.02952091405521,2.441603686625502,1.6844398394478435,2.833098431562296,2.6242926192788882,4.450668802164146,2.089157431435882,3.372970079510873,3.5795259996223887,1.1871671387714506,0.9967371232892968,3.4090690288805003,4.495541644674636,2.6458749975663367,1.3508568735736155,3.98086486257212,2.0319611004097564,2.0443488412180084,1.5258539871543637,3.881636280004189,2.928412966799267,3.797476384424006,0.7275653583874138,3.225990579006293,2.5967789515905397,3.1628194341089424,2.5010636986620547,2.460254124501554,2.3088774944246335,3.658813566974332,2.1559278191665605,3.806588528841478,2.1600279476070625,3.5371468564850854,2.81361366224633,2.31575709049125,2.928777255674728,1.139965481077391,3.6239373351021795,4.119309344069386,4.478225990421886,4.472418742191279,0.9170152941754299,1.3121789986481287,3.0818757802345056,3.6948165565118734
192.168.1.135 (Sensor),UDP,53,False,0.23332448534215713,0.25034202527891436,0.16137216555235145,0.21940558165981622,0.2340474979075013,0.10683842444807358,0.16664415735461208,0.18417624282232473,0.028016424175364693,0.24335879389561593,0.018199550864585252,0.1829500233488126,0.050417270319714054,0.10899402395066098,0.03480074640112137,0.09071996002077895,0.21095305197589628,0.030090425122612383,0.06165556078003665,0.25082926693905705,0.21206165196117385,0.19290378665006974,0.2017459338064649,0.09076486218863573,0.12166646058258322,0.05722429056313248,0.20075060591654564,0.04948755479350951,0.2501806757637997,0.01885615979250275,0.057938413687589146,0.19221323977921273,0.08212369592119736,0.29493659441360737,0.05904418372829587,0.1438652717064539,0.26928172031237196,0.10723241143574613,0.2537764180578716,0.1981873222204155,0.16595100624523712,0.07229690458631102,0.11094647354744654,0.18304503503285352,0.17130861863699579,0.26011503098197997
192.168.1.104 (Camera),TCP,80,False,0.20324704076757788,0.2896076023995173,0.20777183741204802,0.0508253276969445,0.14108394241109892,0.15455384422638258,0.2791805813555587,0.1760090213505395,0.06758654814566603,0.2599858492774672,0.2037429698569982,0.2648200146235339,0.12894812691241164,0.15062883059176177,0.2770322867123201,0.21384227791150118,0.12667602161149585,0.07014482252224619,0.14855962059738986,0.12462102744903325,0.0663054646718201,0.13890969278355944,0.2923044811110168,0.09191430563477627,0.06430660504083065,0.24787362993034076,0.08868503351195224,0.250057760242182,0.16894032737031578,0.20414753868966365,0.284057312055909,0.23903623339263605,0.2280490902985329,0.2446046913714468,0.19442136825658496,0.16383311841114104,0.058257292727000705,0.263860819736147,0.12468599599541687,0.1394725372420463,0.015101402150588961,0.09754571512683866,0.24039746298472087,0.2671880648142465,0.1921083861500213,0.2252949676986029
192.168.1.135 (Sensor),TCP,443,True,2.2305351965421005,3.9798344229590326,1.6114873720289213,2.924434051119678,2.514846311381357,1.50945997377102,2.3207718269694686,2.6751474585942345,2.737983535756938,0.7892216141280294,2.4931474898451844,3.5994170000224903,3.4700169338936675,3.6864224313997287,4.41189728013786,3.594132945190344,0.9132337497934606,3.589286806030101,2.340917929961615,3.202329588339362,2.393380601780794,2.651253177913805,3.2329900386663875,1.059663431303619,1.9570103277494197,1.2821866987791155,1.8132813326080988,1.7495936199242546,1.2163205638391685,4.011199480161546,2.320283558621063,3.805266448218182,1.9722462724907857,2.31319116083053,2.9165872852408006,4.1848670109816,2.2103974618060205,4.279371217709512,3.921938220193482,1.9893091070389903,1.2549630513623156,1.7341676411548337,3.9028577191919887,2.7050816181520823,3.206196642217221,3.936618917006375
192.168.1.104 (Camera),UDP,123,False,0.24076425888173777,0.2726727174925686,0.22061647503262333,0.03595215352336754,0.08407837480111077,0.015058045334261062,0.23544715784263623,0.1878701183125593,0.18212917161931896,0.02983546506517356,0.139933412812818,0.2219778355383286,0.09444948674662379,0.08030605179625899,0.21666723883603015,0.2844973711454438,0.29157414275122207,0.2241013592826399,0.09795208657803403,0.1097614453711694,0.030505402177732274,0.016403875797795623,0.2364696137517144,0.04633941341880678,0.1276276352194473,0.26548895251994536,0.19432265743514573,0.25453326048918185,0.053127492946286006,0.1453803828072507,0.29684486143897115,0.25399375340615093,0.1747773639165435,0.25482919865902265,0.2024554911352574,0.09844352402519131,0.11964563127588228,0.035379920186637395,0.03569590758371672,0.28080740202211607,0.15795006759442912,0.13675260475775655,0.05390990777832758,0.03954548558967399,0.27892925907227484,0.1235968424221724
